lane,length
:41_1_0,25.6
:41_1_1,25.6
:41_3_0,33.21
:42_0_0,15.77
:42_1_0,14.92
:42_1_1,14.92
:42_1_2,14.92
:42_1_3,14.92
:43_0_0,50.63
:43_0_1,50.63
:43_2_0,49.86
:43_2_1,63.99
:43_4_0,18.25
:48_0_0,28.06
:48_0_1,28.06
:48_0_2,28.06
:49_0_0,8.77
:49_0_1,10.65
:49_2_0,12.5
:49_2_1,12.5
:4_0_0,8.65
:4_0_1,10.67
:4_2_0,12.2
:4_2_1,12.2
:4_2_2,12.2
:50_0_0,8.67
:50_0_1,13.13
:50_2_0,13.49
:50_2_1,13.49
:50_2_2,13.49
:52_0_0,14.4
:52_0_1,18.21
:52_2_0,11.85
:52_3_0,15.22
:52_3_1,15.22
:54_0_0,37.53
:54_1_0,44.76
:54_2_0,42.98
:54_3_0,15.42
:54_4_0,44.77
:54_5_0,14.96
:54_6_0,20.15
:54_7_0,22.47
:54_8_0,30.9
:54_9_0,2.04
:58_0_0,21.5
:58_0_1,17.58
:59_0_0,10.38
:59_1_0,6.4
:59_2_0,17.75
:59_3_0,16.46
:59_4_0,9.36
:59_5_0,5.1
:5_0_0,22.28
:5_1_0,23.79
:5_2_0,22.34
:5_3_0,23.57
:5_3_1,23.57
:60_0_0,18.94
:60_0_1,18.94
:61_0_0,27.94
:61_1_0,27.19
:61_1_1,27.19
:65_0_0,13.6
:65_0_1,9.05
:65_2_0,23.3
:65_2_1,23.3
:65_4_0,14.62
:65_4_1,10.17
:66_0_0,8.03
:66_0_1,8.03
:66_0_2,8.03
:67_0_0,8.53
:67_0_1,8.53
:67_0_2,8.53
:73_0_0,8.18
:73_0_1,8.18
:73_0_2,8.18
:73_0_3,8.18
:74_0_0,8.17
:74_0_1,8.17
:74_0_2,8.17
:74_0_3,8.17
:75_0_0,8.29
:75_0_1,5.28
:77_0_0,12.63
:77_1_0,12.57
:77_2_0,14.89
:77_2_1,14.89
:7_0_0,21.48
:7_1_0,10.37
:7_2_0,24.29
:7_2_1,24.29
:81_0_0,6.59
:81_0_1,6.59
:82_0_0,18.21
:82_0_1,18.21
:82_2_0,20.39
:82_3_0,9.74
:82_3_1,9.74
:84_0_0,14.45
:84_0_1,14.45
:84_2_0,11.7
:85_0_0,17.09
:85_0_1,17.09
:86_0_0,31.93
:86_0_1,31.93
:86_2_0,40.49
:86_3_0,32.51
